id,total_count
68dde4f0efaeec64e5eb7526,9
68dde655efaeec64e5eb752f,5
68dde76befaeec64e5eb7533,8
68dde795efaeec64e5eb7535,6
68dde7e1efaeec64e5eb7536,3
68dde82cefaeec64e5eb7538,7
68ddec19efaeec64e5eb7540,15
68ddecacefaeec64e5eb7543,4
68ddf17cefaeec64e5eb754c,4
68ddf2b0efaeec64e5eb754f,1
68ddf395efaeec64e5eb7550,7
68ddf7312c48416419f4a76d,5
68ddf74e2c48416419f4a76e,20
68ddf77a2c48416419f4a76f,0
68ddf8412c48416419f4a772,12
68ddf8a12c48416419f4a775,18
68ddf9382c48416419f4a777,8
68ddfa852c48416419f4a77b,3
68ddfbe32c48416419f4a780,4
68ddfc392c48416419f4a781,4
68ddfc492c48416419f4a782,14
68ddfe482c48416419f4a788,6
68ddfe602c48416419f4a789,11
68ddfeed2c48416419f4a78c,0
68ddfff42c48416419f4a790,6
68de01c62c48416419f4a796,4
68de05b32c48416419f4a79f,2
68de0aa42c48416419f4a7a4,5
68de0ac52c48416419f4a7a5,8
68de0d532c48416419f4a7a9,14
68de0f8b2c48416419f4a7ad,3
68de18892c48416419f4a7b9,7
68de1c9c2c48416419f4a7bc,4
68de20022c48416419f4a7bf,3
68de26fe2c48416419f4a7c4,5
68de2ed12c48416419f4a7ca,1
68de30d92c48416419f4a7d0,8
68de323a2c48416419f4a7d3,11
68de34da2c48416419f4a7d5,7
68de386f2c48416419f4a7db,5
68de3e222c48416419f4a7e1,4
68de3f022c48416419f4a7e3,7
68de432d2c48416419f4a7e7,12
68de43a72c48416419f4a7ec,3
68de43bd2c48416419f4a7ed,6
68de44702c48416419f4a7f0,1
68de44ce2c48416419f4a7f2,3
68de46fc2c48416419f4a7f3,7
68de48672c48416419f4a7f8,21
68de48882c48416419f4a7f9,2
68de494f2c48416419f4a7fd,6
68de4a362c48416419f4a800,6
68de4a4c2c48416419f4a801,8
68de4b2d2c48416419f4a802,7
68de4b9d2c48416419f4a803,5
68de5ef12c48416419f4a814,9
68de6d6b2c48416419f4a822,2
68de785a2c48416419f4a827,9
68decb322c48416419f4a82e,15
68deda942c48416419f4a832,6
68dedc802c48416419f4a836,13
68dedc9e2c48416419f4a837,2
68dee2c52c48416419f4a83e,5
68dee5b52c48416419f4a844,3
68def10e2c48416419f4a84f,3
68def1612c48416419f4a850,6
68defeaa2c48416419f4a857,11
68df17c62c48416419f4a85d,3
68df29652c48416419f4a86b,12
68df2b432c48416419f4a86d,3
68df2efa2c48416419f4a870,5
68df34d92c48416419f4a875,2
68df36732c48416419f4a876,8
68df37ac2c48416419f4a87a,13
68df37b72c48416419f4a87b,5
68df38b82c48416419f4a87f,5
68df3a732c48416419f4a883,4
68df3c952c48416419f4a885,4
68df438d2c48416419f4a88c,7
68df450a2c48416419f4a88e,7
68df45692c48416419f4a890,5
68df4c6d2c48416419f4a899,6
68df4cba2c48416419f4a89b,3
68df4e7c2c48416419f4a89d,4
68df59e02c48416419f4a8a9,5
68df5a9c2c48416419f4a8aa,6
68df604b2c48416419f4a8ae,0
68df690f2c48416419f4a8b4,7
68df69b12c48416419f4a8b5,6
68df6c382c48416419f4a8b9,9
68df6c842c48416419f4a8ba,12
68df6d502c48416419f4a8bc,11
68df6e3d2c48416419f4a8bd,3
68df74bf2c48416419f4a8c2,12
68df783b2c48416419f4a8c6,6
68df7b682c48416419f4a8c8,3
68df7d282c48416419f4a8cd,6
68df81172c48416419f4a8d0,2
68df8bef2c48416419f4a8d8,16
68df8f932c48416419f4a8dc,10
68df94132c48416419f4a8df,11
68df9fa02c48416419f4a8e4,9
68dfa4022c48416419f4a8e8,9
68dfa4de2c48416419f4a8ea,8
68dfa5e72c48416419f4a8eb,3
68dfb1412c48416419f4a8f6,3
68dfb38a2c48416419f4a8f9,8
68dfb7dd2c48416419f4a8fc,6
68dfbab52c48416419f4a8ff,7
68dfbaf32c48416419f4a902,8
68dfbf862c48416419f4a906,3
68e031b02c48416419f4a90e,16
68e035ea2c48416419f4a911,10
68e036bd2c48416419f4a912,10
68e03a742c48416419f4a916,3
68e03c672c48416419f4a918,9
68e03dde2c48416419f4a91a,8
68e043e52c48416419f4a920,6
68e0445d2c48416419f4a922,5
68e044cc2c48416419f4a923,2
68e045972c48416419f4a925,12
68e04aab2c48416419f4a929,7
68e04aad2c48416419f4a92a,2
68e05b8a2c48416419f4a93d,2
68e05e762c48416419f4a93e,13
68e061612c48416419f4a940,8
68e065e72c48416419f4a943,4
68e0701a2c48416419f4a94a,5
68e0702f2c48416419f4a94b,15
68e0719b2c48416419f4a94d,6
68e077312c48416419f4a955,7
68e07b1f2c48416419f4a95c,5
68e07b9f2c48416419f4a95e,12
68e07ca02c48416419f4a961,2
68e07d242c48416419f4a963,2
68e07df32c48416419f4a966,2
68e07dfe2c48416419f4a967,5
68e07e532c48416419f4a969,13
68e07f5a2c48416419f4a96c,6
68e080f42c48416419f4a972,9
68e082222c48416419f4a974,17
68e082a82c48416419f4a976,3
68e083aa2c48416419f4a978,7
68e086452c48416419f4a980,7
68e086e72c48416419f4a982,14
68e087ba2c48416419f4a984,7
68e090582c48416419f4a98e,8
68e091f72c48416419f4a991,14
68e093bf2c48416419f4a995,10
68e095db2c48416419f4a99b,5
68e0963c2c48416419f4a99c,16
68e099ef2c48416419f4a9a2,5
68e09c6a2c48416419f4a9a6,4
68e0a0922c48416419f4a9ab,3
68e0a4582c48416419f4a9b0,7
68e0a5a02c48416419f4a9b2,9
68e0a5f12c48416419f4a9b3,9
68e0aeea2c48416419f4a9bd,9
68e0afe32c48416419f4a9bf,6
68e0b23a2c48416419f4a9c3,5
68e0b4642c48416419f4a9c6,9
68e0b7792c48416419f4a9ca,7
68e0b88f2c48416419f4a9ce,6
68e0b9452c48416419f4a9cf,7
68e0ba7e2c48416419f4a9d1,7
68e0bc482c48416419f4a9d5,1
68e0c05e2c48416419f4a9df,11
68e0c3802c48416419f4a9e5,5
68e0c3ee2c48416419f4a9e6,8
68e0c4c42c48416419f4a9e8,11
68e0c6242c48416419f4a9eb,11
68e0c9432c48416419f4a9f3,6
68e0c9902c48416419f4a9f5,7
68e0c9ad2c48416419f4a9f6,6
68e0c9e52c48416419f4a9f7,11
68e0cd422c48416419f4aa02,8
68e0cf332c48416419f4aa06,9
68e0d0c52c48416419f4aa0e,4
68e0d0dd2c48416419f4aa0f,5
68e0d24b2c48416419f4aa11,2
68e0d3472c48416419f4aa15,0
68e0d51e2c48416419f4aa19,14
68e0d6cc2c48416419f4aa1c,6
68e0d7d92c48416419f4aa1f,6
68e0da2a2c48416419f4aa24,3
68e0dab12c48416419f4aa25,18
68e0db212c48416419f4aa26,7
68e0e04f2c48416419f4aa2c,1
68e0e1542c48416419f4aa2f,12
68e0e1862c48416419f4aa31,7
68e0e20d2c48416419f4aa32,8
68e0e5262c48416419f4aa36,6
68e0e5732c48416419f4aa38,10
68e0e6312c48416419f4aa3b,10
68e0e9862c48416419f4aa42,13
68e0ed242c48416419f4aa49,7
68e0ed272c48416419f4aa4a,12
68e0ef8e2c48416419f4aa4d,4
68e0f0742c48416419f4aa50,15
68e0f1ee2c48416419f4aa53,4
68e0f1f52c48416419f4aa54,10
68e0f31b2c48416419f4aa56,7
68e0f6092c48416419f4aa5b,5
68e0f8642c48416419f4aa60,10
68e102502c48416419f4aa6e,4
68e103362c48416419f4aa71,15
68e10c752c48416419f4aa79,7
68e114682c48416419f4aa7e,8
68e124e32c48416419f4aa81,2
68e1366d2c48416419f4aa84,3
68e1417e2c48416419f4aa86,5
68e1420c2c48416419f4aa87,8
68e15cef2c48416419f4aa8d,5
68e17cdc2c48416419f4aa94,4
68e18b692c48416419f4aa98,16
68e18b7e2c48416419f4aa99,2
68e191d52c48416419f4aa9d,4
68e199ec2c48416419f4aaa1,13
68e19a562c48416419f4aaa2,19
68e1a7e02c48416419f4aaa9,6
68e1a9d52c48416419f4aaae,4
68e1aa252c48416419f4aaaf,15
68e1ab892c48416419f4aab1,6
68e1ac602c48416419f4aab3,10
68e1b0622c48416419f4aabe,2
68e1b2562c48416419f4aac0,10
68e1b3b72c48416419f4aac3,9
68e1b4a92c48416419f4aac5,13
68e1b9032c48416419f4aaca,7
68e1b9752c48416419f4aacd,8
68e1bd922c48416419f4aad3,0
68e1c0e12c48416419f4aad8,7
68e1c42f2c48416419f4aade,0
68e1c7842c48416419f4aae4,4
68e1c7952c48416419f4aae5,0
68e1c8022c48416419f4aae7,5
68e1c8482c48416419f4aae8,1
68e1cadf2c48416419f4aaef,10
68e1cd182c48416419f4aaf5,12
68e1cf992c48416419f4aafa,12
68e1d05e2c48416419f4aafd,7
68e1d3ba2c48416419f4ab03,8
68e1d6d22c48416419f4ab0d,6
68e1d8cd2c48416419f4ab11,0
68e1d9682c48416419f4ab12,4
68e1db182c48416419f4ab15,6
68e1dc1d2c48416419f4ab18,6
68e1ddcc2c48416419f4ab1e,2
68e1dec92c48416419f4ab22,7
68e1ded92c48416419f4ab23,9
68e1e07a2c48416419f4ab27,1
68e1e0d92c48416419f4ab28,6
68e1e2762c48416419f4ab2e,12
68e1e5b42c48416419f4ab35,5
68e1ea1d2c48416419f4ab3e,14
68e1ed922c48416419f4ab44,4
68e1eec22c48416419f4ab49,1
68e1ef1c2c48416419f4ab4a,6
68e1f28b2c48416419f4ab53,5
68e1f6f52c48416419f4ab5c,4
68e1f7ba2c48416419f4ab5e,17
68e1f7e22c48416419f4ab5f,11
68e1f7fb2c48416419f4ab61,5
68e1fa172c48416419f4ab68,8
68e1fa352c48416419f4ab69,1
68e1faac2c48416419f4ab6e,16
68e1fad42c48416419f4ab6f,0
68e1fae62c48416419f4ab70,5
68e1faea2c48416419f4ab71,9
68e1fb8c2c48416419f4ab74,7
68e1fb922c48416419f4ab75,6
68e1fcdf2c48416419f4ab77,3
68e1fe8e2c48416419f4ab7c,7
68e2012e2c48416419f4ab83,3
68e2055a2c48416419f4ab8e,0
68e208da2c48416419f4ab93,4
68e20b8b2c48416419f4ab98,4
68e20fea2c48416419f4ab9d,0
68e210452c48416419f4aba0,8
68e211be2c48416419f4aba2,8
68e2154b2c48416419f4aba9,10
68e215d02c48416419f4abab,8
68e2174c2c48416419f4abaf,3
68e217582c48416419f4abb0,4
68e21fd32c48416419f4abbb,5
68e220472c48416419f4abbc,5
68e222ef2c48416419f4abc1,7
68e2246e2c48416419f4abc7,5
68e225d22c48416419f4abce,3
68e225db2c48416419f4abcf,9
68e226dd2c48416419f4abd1,14
68e227752c48416419f4abd3,3
68e227c02c48416419f4abd4,9
68e2291c2c48416419f4abd6,15
68e22a752c48416419f4abd7,8
68e22b3f2c48416419f4abd9,22
68e22c952c48416419f4abde,6
68e22f1b2c48416419f4abe3,3
68e22fc52c48416419f4abe8,14
68e2312d2c48416419f4abec,4
68e2313b2c48416419f4abee,8
68e2396d2c48416419f4abff,13
68e23a592c48416419f4ac01,6
68e23c072c48416419f4ac07,7
68e23c592c48416419f4ac09,7
68e23cc42c48416419f4ac0b,1
68e2426c2c48416419f4ac11,3
68e243c72c48416419f4ac13,12
68e243fb2c48416419f4ac15,19
68e247a82c48416419f4ac1e,0
68e248252c48416419f4ac1f,1
68e2486f2c48416419f4ac21,7
68e249552c48416419f4ac25,0
68e249d12c48416419f4ac26,10
68e24a072c48416419f4ac28,6
68e24a522c48416419f4ac2a,14
68e24afe2c48416419f4ac2c,0
68e24b562c48416419f4ac2d,7
68e250502c48416419f4ac3a,1
68e2524d2c48416419f4ac3d,4
68e252872c48416419f4ac3f,9
68e255a62c48416419f4ac45,4
68e2578f2c48416419f4ac4a,21
68e2585d2c48416419f4ac4c,5
68e259772c48416419f4ac4f,4
68e25b112c48416419f4ac53,4
68e25b792c48416419f4ac54,15
68e25f112c48416419f4ac5e,2
68e25f6f2c48416419f4ac5f,4
68e260892c48416419f4ac62,14
68e261772c48416419f4ac63,0
68e262e52c48416419f4ac66,12
68e269eb2c48416419f4ac6d,3
68e273f12c48416419f4ac76,4
68e273f12c48416419f4ac77,4
68e282fc2c48416419f4ac7e,9
68e283922c48416419f4ac7f,2
68e2839d2c48416419f4ac80,3
68e28e5b2c48416419f4ac86,3
68e292b02c48416419f4ac89,0
68e2b1bd2c48416419f4ac8e,3
68e2b5582c48416419f4ac8f,8
68e2cb2a2c48416419f4ac94,9
68e2cbe52c48416419f4ac95,5
68e2d09d2c48416419f4ac97,4
68e2d7792c48416419f4ac9c,0
68e2db792c48416419f4aca4,11
68e2dbec2c48416419f4aca5,0
68e2ddfc2c48416419f4aca8,2
68e2e00e2c48416419f4acaf,5
68e2e0192c48416419f4acb0,5
68e2e0f42c48416419f4acb3,4
68e2e2ef2c48416419f4acbb,6
68e2e2f12c48416419f4acbc,1
68e2e4b12c48416419f4acc0,5
68e2e5852c48416419f4acc4,8
68e2e5d72c48416419f4acc7,5
68e2e6872c48416419f4acca,0
68e2e7102c48416419f4accb,5
68e2e73a2c48416419f4accc,3
68e2ed822c48416419f4acd7,1
68e2eee52c48416419f4acdb,6
68e2f1a92c48416419f4ace6,13
68e2f1e42c48416419f4ace7,3
68e2f1f82c48416419f4ace8,12
68e2f2e52c48416419f4aceb,9
68e2f32c2c48416419f4acec,0
68e2f34e2c48416419f4aced,5
68e2f6582c48416419f4acf1,0
68e2f66c2c48416419f4acf2,16
68e2f6ce2c48416419f4acf5,0
68e2f8262c48416419f4acfa,10
68e2fc262c48416419f4ad03,9
68e2fd132c48416419f4ad05,17
68e2fd202c48416419f4ad06,5
68e2ffd82c48416419f4ad08,15
68e300592c48416419f4ad0a,7
68e302af2c48416419f4ad11,0
68e302af2c48416419f4ad12,1
68e303352c48416419f4ad16,13
68e303ce2c48416419f4ad1a,9
68e3059b2c48416419f4ad1d,6
68e306792c48416419f4ad24,5
68e307672c48416419f4ad27,3
68e308242c48416419f4ad2e,0
68e308312c48416419f4ad2f,23
68e308c22c48416419f4ad31,9
68e309062c48416419f4ad35,5
68e30a082c48416419f4ad38,1
68e30ba72c48416419f4ad41,7
68e30c1f2c48416419f4ad44,2
68e30c382c48416419f4ad45,6
68e30c9c2c48416419f4ad48,12
68e30ca72c48416419f4ad49,6
68e30ea32c48416419f4ad53,8
68e30fe62c48416419f4ad5a,6
68e3100b2c48416419f4ad5b,10
68e312322c48416419f4ad64,4
68e313302c48416419f4ad6a,7
68e313452c48416419f4ad6b,2
68e314372c48416419f4ad6f,7
68e3143d2c48416419f4ad70,5
68e314442c48416419f4ad71,5
68e3147a2c48416419f4ad72,3
68e315a12c48416419f4ad76,3
68e316112c48416419f4ad77,7
68e318932c48416419f4ad82,0
68e319cb2c48416419f4ad87,1
68e31a212c48416419f4ad89,12
68e31bb72c48416419f4ad8e,0
68e31d1f2c48416419f4ad93,17
68e31e2b2c48416419f4ad95,5
68e31f072c48416419f4ad99,12
68e31f5b2c48416419f4ad9a,15
68e3227d2c48416419f4ada0,7
68e3268b2c48416419f4adaa,8
68e327862c48416419f4adad,6
68e3279c2c48416419f4adaf,1
68e328052c48416419f4adb1,3
68e329cd2c48416419f4adb7,9
68e32aaa2c48416419f4adb8,13
68e32ce92c48416419f4adbf,8
68e32d452c48416419f4adc1,3
68e32d8a2c48416419f4adc2,8
68e332ba2c48416419f4adcf,2
68e333132c48416419f4add1,6
68e334352c48416419f4add6,3
68e335302c48416419f4addc,5
68e3365f2c48416419f4ade1,7
68e3369a2c48416419f4ade3,6
68e3389a2c48416419f4ade8,13
68e339aa2c48416419f4adee,2
68e339b12c48416419f4adef,5
68e339fc2c48416419f4adf1,1
68e33a192c48416419f4adf3,3
68e33a512c48416419f4adf5,2
68e33a592c48416419f4adf7,0
68e33b642c48416419f4adfd,10
68e33b772c48416419f4adff,1
68e33b902c48416419f4ae00,4
68e33bc62c48416419f4ae03,4
